Student Number,Person ID
1217406,243279
1216622,242456
1215514,241350
1213708,239530
1212153,237984
1211052,236870
1210009,235898
12094389,1851018
12094303,1850192
12094292,1849873
12094125,1849035
12093781,1842316
12093621,1847915
12093305,1844014
12092896,1844372
12092509,1843188
12091391,1838255
12091382,1837760
12090846,1833491
12090714,1835308
12090675,1833571
12090655,1830553
12090554,1834694
12090373,1832121
12090098,1831225
12089924,1831062
12089673,1830149
12089668,1827125
12089509,1828943
12088906,1813002
12088105,1823194
12087832,1822106
12087831,1822107
12087381,1816760
12086511,1815526
12086066,1812813
12085302,1809315
12085297,1809314
12085275,1810892
12085260,1810183
12084430,1793390
12084317,1801046
12083670,1785567
12083594,1785215
12083574,1790300
12083570,1790301
12083366,1801742
12082692,1800457
12082533,1791825
1208177,234073
12081463,1794936
12081462,1794937
12081125,1793594
12081120,1793593
12080326,1790793
12080229,1790531
12080207,1788470
12080181,1777811
12080149,1787652
12078791,1785624
12078275,1783555
12078114,1775361
12078002,1782251
12077928,1776102
12077883,1777288
12077014,1778538
12076781,1777313
12076370,1726359
12076197,1775340
12075999,1634262
12075903,1774078
12075758,1707317
12075692,1772902
12075675,1708465
12075541,1731131
12075426,1771329
12072838,1760652
12072225,1699576
12072041,1757471
12071775,1755799
12071530,1754273
12071240,1708624
12070893,1745813
12070812,1727816
12069731,1745669
12069589,1744780
12069493,1744355
12069265,1743083
12068708,1740832
12068514,1739810
12068262,1738388
12068250,1737573
12068245,1737572
12067035,1732381
12066989,1718125
12066355,1729203
12066237,1728699
12065987,1727231
12064952,1722006
12064101,1717825
12064077,1717807
12063941,1717054
12062787,1711560
12060668,1699982
12060273,1697693
12060058,1696779
12059640,1694746
12059626,1694711
12059410,1693587
12059358,1693136
12059353,1693081
12059193,1690818
12059191,1690816
12059190,1690817
12058661,1687973
12058660,1687972
12058654,1687961
12058122,1677428
12057949,1668311
12055746,1662492
12051322,1636041
12051074,1634254
12049906,1626947
12049874,1626764
12049375,1623355
12048811,1619774
12048563,1618506
12047507,1612341
12047439,1611977
12047122,1610093
12047070,1609684
12046655,1607486
12045834,1602727
12045577,1601383
12044653,1595734
12044090,1592388
12043739,1590017
12043346,1587780
12043341,1586469
12043150,1586452
12042953,1584957
12041936,1578266
12041553,1575472
12041444,1574698
12040961,1570309
12040948,1571375
12040488,1567951
12040238,1566192
12038835,1556273
12038128,1428276
12037938,1551482
12037910,1551323
12035835,1526908
12035695,1538233
12034316,1523695
12033963,1519779
12033181,1512178
12032974,1511138
12032407,1502651
12032402,1502593
12032398,1501993
12031946,1494564
12031945,1496700
12031257,1490301
12031156,1488336
12031112,1487780
12030852,1485114
12029891,1464352
12029694,1459972
12029238,1379007
12027743,1420581
12027241,1408305
12026213,1369796
12026209,1377387
12026205,1377371
12025907,1369609
12025906,1369594
12025530,1357744
12025529,1357743
12025527,1357742
12025519,1357746
12024908,1352625
12024872,1352233
12024319,1336276
12024077,1337691
12023976,1336275
12023461,1332169
12022794,1325723
12022310,1322178
12021746,1318004
12020914,1313490
